Enzymes	Etot Conc	kcat (1/s)	Vmax	Keq	delta G (pH 7.2)	"vss (Gur = -10, O2ur = -1000)"	 equation	Activators	Inhibitors	Rxn Mechanism	Substrate Km (mM)	Regulator Km (mM)	Metab	Mclow (mM)	Mchigh (mM)
PTAr				1.6538E-03	3.8	0	[c] : accoa + pi <==> actp + coa								
PYK				7.5765E+03	-5.3	1.7582	[c] : adp + h + pep --> atp + pyr								
PYRt2r				1.0000E+00	0.0	0	h[e] + pyr[e] <==> h[c] + pyr[c]								
RPE				1.0000E+00	0.0	2.6785	[c] : rl5p <==> x5p								
RPI				4.3054E-01	0.5	-2.2815	[c] : r5p <==> rl5p								
SUCCt2_2				1.0000E+00	0.0	0	2 h[e] + succ[e] --> 2 h[c] + succ[c]								
SUCCt3				1.0000E+00	0.0	0	h[e] + succ[c] --> h[c] + succ[e]								
SUCDi				34.44673879	-2.1	5.0644	[c] : q8 + succ --> fum + q8h2								
SUCOAS				5.3948E+00	-1.0	-5.0644	[c] : atp + coa + succ <==> adp + pi + succoa								
TALA				1.7553E+01	-1.7	1.497	[c] : g3p + s7p <==> e4p + f6p								
THD2				6.0313E-01	0.3	0	2 h[e] + nadh[c] + nadp[c] --> 2 h[c] + nad[c] + nadph[c]								
TKT1				4.0667E-02	1.9	1.497	[c] : r5p + x5p <==> g3p + s7p								
TKT2				1.7553E+01	-1.7	1.1815	[c] : e4p + x5p <==> f6p + g3p								
TPI				9.4457E-02	1.4	7.4774	[c] : dhap <==> g3p								
ZWF				1.4831E+01	-1.6	4.96	[c] : g6p + nadp <==> d6pgl + h + nadph								
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
